Start - 2018-08-08
14:38:58: 97: ** ERROR ** : RecordType: AAAA | RequestId: 47717 | SrcIP: 176.10.99.200  |  SrcPort: 19837  |  Domain: ns2.dnstestsuite.space
14:38:58: 98: ** ERROR ** : RecordType: AAAA | RequestId: 5992 | SrcIP: 176.10.99.200  |  SrcPort: 41499  |  Domain: ns.dnstestsuite.space
14:38:58: 99: ** ERROR ** : RecordType: AAAA | RequestId: 2758 | SrcIP: 176.10.99.200  |  SrcPort: 13315  |  Domain: ns2.dnstestsuite.space
14:38:58: 100: ** ERROR ** : RecordType: AAAA | RequestId: 55476 | SrcIP: 176.10.99.200  |  SrcPort: 16127  |  Domain: ns.dnstestsuite.space
14:38:59: 101: ** ERROR ** : RecordType: AAAA | RequestId: 1601 | SrcIP: 176.10.99.200  |  SrcPort: 11499  |  Domain: ns2.dnstestsuite.space
14:38:59: 102: ** ERROR ** : RecordType: AAAA | RequestId: 56340 | SrcIP: 176.10.99.200  |  SrcPort: 16474  |  Domain: ns.dnstestsuite.space
14:38:59: 103: ** ERROR ** : RecordType: AAAA | RequestId: 29108 | SrcIP: 176.10.99.200  |  SrcPort: 46201  |  Domain: ns2.dnstestsuite.space
14:38:59: 104: ** ERROR ** : RecordType: AAAA | RequestId: 45840 | SrcIP: 176.10.99.200  |  SrcPort: 60452  |  Domain: ns.dnstestsuite.space
14:39:11: 105: RecordType: A | RequestId: 2777 | SrcIP: 176.10.99.200  |  SrcPort: 12173  |  Domain: ns2.dnstestsuite.space
14:39:11: 106: RecordType: A | RequestId: 31012 | SrcIP: 176.10.99.200  |  SrcPort: 31348  |  Domain: ns.dnstestsuite.space
14:39:11: 107: RecordType: A | RequestId: 43922 | SrcIP: 176.10.99.200  |  SrcPort: 6975  |  Domain: ns.dnstestsuite.space
14:39:11: 108: ** ERROR ** : RecordType: AAAA | RequestId: 64460 | SrcIP: 176.10.99.200  |  SrcPort: 14336  |  Domain: ns.dnstestsuite.space
14:39:11: 109: ** ERROR ** : RecordType: AAAA | RequestId: 18704 | SrcIP: 176.10.99.200  |  SrcPort: 46550  |  Domain: ns.dnstestsuite.space
14:39:12: 110: ** ERROR ** : RecordType: AAAA | RequestId: 32557 | SrcIP: 176.10.99.200  |  SrcPort: 30488  |  Domain: ns.dnstestsuite.space
14:39:12: 111: ** ERROR ** : RecordType: AAAA | RequestId: 21845 | SrcIP: 176.10.99.200  |  SrcPort: 62201  |  Domain: ns.dnstestsuite.space
