Start - 2018-07-17
00:17:48: 142: RecordType: A | RequestId: 3400 | SrcIP: 80.241.59.2  |  SrcPort: 55246  |  Domain : 4_80-241-60-207.dNsTesTsUitE.sPAcE
00:17:48: 143: RecordType: A | RequestId: 29974 | SrcIP: 91.198.250.2  |  SrcPort: 36537  |  Domain : 5_80-241-60-207.dnstEStsuITE.sPAcE
00:17:49: 144: RecordType: A | RequestId: 2626 | SrcIP: 195.10.208.2  |  SrcPort: 42626  |  Domain : 6_80-241-60-207.DNStEStsUitE.sPACE
00:17:50: 145: RecordType: A | RequestId: 8142 | SrcIP: 80.241.59.2  |  SrcPort: 56410  |  Domain : 7_80-241-60-207.DnSTeStSuiTe.sPaCe
00:17:55: 146: RecordType: A | RequestId: 4696 | SrcIP: 91.198.250.2  |  SrcPort: 56286  |  Domain : 7_80-241-60-207.DnSTeStSuiTe.sPaCe
00:17:55: 147: RecordType: A | RequestId: 23277 | SrcIP: 195.10.208.2  |  SrcPort: 43296  |  Domain : 8_80-241-60-207.DNSteStSuIte.sPACe
00:17:56: 148: RecordType: A | RequestId: 11668 | SrcIP: 80.241.59.2  |  SrcPort: 47842  |  Domain : 9_80-241-60-207.DNsTEStSuITe.SPace
00:17:56: 149: RecordType: A | RequestId: 44951 | SrcIP: 91.198.250.2  |  SrcPort: 45065  |  Domain : 10_80-241-60-207.DnsTeSTSUItE.SPAcE
00:17:57: 150: RecordType: A | RequestId: 45841 | SrcIP: 195.10.208.2  |  SrcPort: 46220  |  Domain : 11_80-241-60-207.dNstEsTsUiTE.sPacE
00:17:57: 151: RecordType: A | RequestId: 45512 | SrcIP: 80.241.59.2  |  SrcPort: 33768  |  Domain : 12_80-241-60-207.dNSTEsTsUITe.spACE
00:17:58: 152: RecordType: A | RequestId: 31863 | SrcIP: 91.198.250.2  |  SrcPort: 43998  |  Domain : 13_80-241-60-207.DNsTesTSUitE.SPaCe
00:17:59: 153: RecordType: A | RequestId: 39417 | SrcIP: 195.10.208.2  |  SrcPort: 58065  |  Domain : 14_80-241-60-207.dnStEsTSUItE.spACe
00:17:59: 154: RecordType: A | RequestId: 45901 | SrcIP: 80.241.59.2  |  SrcPort: 44655  |  Domain : 15_80-241-60-207.dNStEsTsuIte.spaCE
00:18:00: 155: RecordType: A | RequestId: 11892 | SrcIP: 91.198.250.2  |  SrcPort: 38844  |  Domain : 16_80-241-60-207.DnStEstsuIte.SpacE
00:18:00: 156: RecordType: A | RequestId: 49462 | SrcIP: 195.10.208.2  |  SrcPort: 43456  |  Domain : 17_80-241-60-207.dnStestsUiTe.sPacE
00:18:01: 157: RecordType: A | RequestId: 15343 | SrcIP: 80.241.59.2  |  SrcPort: 36542  |  Domain : 18_80-241-60-207.dNsteSTSUITe.sPAce
00:18:01: 158: RecordType: A | RequestId: 36161 | SrcIP: 91.198.250.2  |  SrcPort: 41724  |  Domain : 19_80-241-60-207.DNStesTsuITe.space
00:18:02: 159: RecordType: A | RequestId: 56044 | SrcIP: 195.10.208.2  |  SrcPort: 49504  |  Domain : 20_80-241-60-207.DnStEStSuiTE.spacE
00:18:02: 160: RecordType: A | RequestId: 27301 | SrcIP: 91.198.250.2  |  SrcPort: 47233  |  Domain : 21_80-241-60-207.dNstEStSuItE.SPaCe
00:18:03: 161: RecordType: A | RequestId: 15195 | SrcIP: 80.241.59.2  |  SrcPort: 50335  |  Domain : 22_80-241-60-207.DnSTesTSuite.SPAcE
