Start - 2018-08-10
00:02:04: 25843: RecordType: A | RequestId: 20092 | SrcIP: 162.158.82.184  |  SrcPort: 28510  |  Domain: 29_104-244-78-207.DnSteSTSuite.spaCE
00:02:04: 25844: RecordType: A | RequestId: 28825 | SrcIP: 162.158.82.184  |  SrcPort: 35337  |  Domain: 30_104-244-78-207.DNSTESTsuIte.spaCE
00:02:05: 25845: RecordType: A | RequestId: 5761 | SrcIP: 162.158.82.184  |  SrcPort: 54151  |  Domain: 31_104-244-78-207.DNstestsuITE.spACe
00:02:05: 25846: RecordType: A | RequestId: 26585 | SrcIP: 162.158.82.184  |  SrcPort: 10075  |  Domain: 32_104-244-78-207.DnstesTsUItE.SpaCe
00:02:06: 25847: RecordType: A | RequestId: 37883 | SrcIP: 162.158.82.184  |  SrcPort: 9638  |  Domain: 33_104-244-78-207.dNsteSTSUIte.spACE
00:02:06: 25848: RecordType: A | RequestId: 32212 | SrcIP: 162.158.82.184  |  SrcPort: 62820  |  Domain: 34_104-244-78-207.DNstesTSuiTE.spaCE
00:02:07: 25849: RecordType: A | RequestId: 32212 | SrcIP: 162.158.82.184  |  SrcPort: 53955  |  Domain: 34_104-244-78-207.DNstesTSuiTE.spaCE
00:02:07: 25850: RecordType: A | RequestId: 23743 | SrcIP: 162.158.82.184  |  SrcPort: 43180  |  Domain: 35_104-244-78-207.DnsteStsUitE.sPACe
00:02:08: 25851: RecordType: A | RequestId: 59924 | SrcIP: 162.158.82.184  |  SrcPort: 20910  |  Domain: 36_104-244-78-207.DnSTestSUitE.sPaCe
00:02:09: 25852: RecordType: A | RequestId: 56163 | SrcIP: 162.158.82.184  |  SrcPort: 60097  |  Domain: 37_104-244-78-207.DNstEsTSUiTe.spACe
00:02:09: 25853: RecordType: A | RequestId: 56163 | SrcIP: 162.158.82.184  |  SrcPort: 21312  |  Domain: 37_104-244-78-207.DNstEsTSUiTe.spACe
00:02:10: 25854: RecordType: A | RequestId: 10938 | SrcIP: 162.158.82.184  |  SrcPort: 57099  |  Domain: 38_104-244-78-207.DNSTEstsuItE.SpaCE
00:02:10: 25855: RecordType: A | RequestId: 10938 | SrcIP: 162.158.82.184  |  SrcPort: 53936  |  Domain: 38_104-244-78-207.DNSTEstsuItE.SpaCE
00:02:10: 25856: RecordType: A | RequestId: 882 | SrcIP: 162.158.82.184  |  SrcPort: 13605  |  Domain: 39_104-244-78-207.DnSTESTSUiTe.SPACE
00:02:10: 25857: RecordType: A | RequestId: 882 | SrcIP: 162.158.82.184  |  SrcPort: 37637  |  Domain: 39_104-244-78-207.DnSTESTSUiTe.SPACE
00:02:11: 25858: RecordType: A | RequestId: 29428 | SrcIP: 162.158.82.184  |  SrcPort: 29044  |  Domain: 40_104-244-78-207.dNstESTsuiTe.spACe
